,Title,Year,IMDB Rating,Summary
52,Le dictateur,1940,8.426,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
53,Cinéma Paradiso,1988,8.421,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
54,Boulevard du Crépuscule,1950,8.419,"A screenwriter is hired to rework a faded silent film star's script, only to find himself developing a dangerous relationship."
55,"Docteur Folamour, ou: Comment j'ai appris à ne plus m'en faire et à aimer la bombe",1964,8.417,An insane general triggers a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.
56,Le tombeau des lucioles,1988,8.415,A young boy and his little sister struggle to survive in Japan during World War II.
57,La vie des autres,2006,8.413,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
58,Les sentiers de la gloire,1957,8.401,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
59,Coco,2017,8.396,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
60,Shining,1980,8.393,"A family heads to an isolated hotel for the winter where an evil spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future."
61,Django Unchained,2012,8.392,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
62,Wall-E,2008,8.377,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
63,Princesse Mononoké,1997,8.361,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
64,American Beauty,1999,8.36,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
65,The Dark Knight Rises,2012,8.356,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane."
66,Témoin à charge,1957,8.354,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
67,Old Boy,2003,8.353,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
68,Aliens - Le retour,1986,8.352,"Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?"
69,Il était une fois en Amérique,1984,8.349,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
70,Le bateau,1981,8.336,"The claustrophobic world of a WWII German U-boat; boredom, filth, and sheer terror."
71,Citizen Kane,1941,8.334,"Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance."
72,La mort aux trousses,1959,8.322,"A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive."
73,Sueurs froides,1958,8.322,"A San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her."
74,Braveheart,1995,8.319,"When his secret bride is executed for assaulting an English soldier who tried to rape her, Sir William Wallace begins a revolt against King Edward I of England."
75,Reservoir Dogs,1992,8.316,"After a simple jewelry heist goes terribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
76,Le retour du Jedi,1983,8.315,"After a daring mission to rescue Han Solo from Jabba the Hutt, the rebels dispatch to Endor to destroy a more powerful Death Star. Meanwhile, Luke struggles to help Vader back from the dark side without falling into the Emperor's trap."
77,Dangal,2016,8.313,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
78,M le maudit,1931,8.313,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
79,Your Name,2016,8.31,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
80,Requiem for a Dream,2000,8.302,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
81,Taare Zameen Par,2007,8.296,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
82,Amadeus,1984,8.295,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporary composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
83,Le fabuleux destin d'Amélie Poulain,2001,8.293,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
84,Orange mécanique,1971,8.292,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
85,Lawrence d'Arabie,1962,8.292,
86,Eternal Sunshine of the Spotless Mind,2004,8.29,"When their relationship turns sour, a young couple undergoes a medical procedure to have each other erased from their memories."
87,Assurance sur la mort,1944,8.288,An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses an insurance investigator's suspicions.
88,Taxi Driver,1976,8.286,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action, while attempting to liberate a twelve-year-old prostitute."
89,Chantons sous la pluie,1952,8.28,A silent film production company and cast make a difficult transition to sound.
90,3 Idiots,2009,8.279,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
91,"2001, l'odyssée de l'espace",1968,8.279,"Humanity finds a mysterious, obviously artificial object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest."
92,Toy Story,1995,8.278,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
93,Du silence et des ombres...,1962,8.278,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice."
94,Full Metal Jacket,1987,8.277,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
95,Inglourious Basterds,2009,8.273,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
96,Le voleur de bicyclette,1948,8.273,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it."
97,L'arnaque,1973,8.273,Two grifters team up to pull off the ultimate con.
98,Le Kid,1921,8.271,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
99,Toy Story 3,2010,8.269,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
100,Snatch - Tu braques ou tu raques,2000,8.26,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
101,Will Hunting,1997,8.258,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
102,La chasse,2012,8.257,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
103,Monty Python sacré graal!,1975,8.256,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
104,Et pour quelques dollars de plus,1965,8.25,Two bounty hunters with the same intentions team up to track down a Western outlaw.
105,Scarface,1983,8.25,"In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
106,L.A. Confidential,1997,8.248,"As corruption grows in 1950s LA, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
107,La garçonnière,1960,8.246,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
108,Metropolis,1927,8.245,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences."
109,Une séparation,2011,8.24,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
110,Rashômon,1950,8.238,A heinous crime and its aftermath are recalled from differing points of view.
111,Indiana Jones et la dernière croisade,1989,8.235,"When Dr. Henry Jones, Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Dr. Henry ""Indiana"" Jones, Jr. must follow in his father's footsteps to stop the Nazis from getting their hands on the Holy Grail first."
112,Là-haut,2009,8.226,"Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway."
113,Le garde du corps,1961,8.226,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
114,Ève,1950,8.225,An ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends.
115,Batman Begins,2005,8.222,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from the corruption that Scarecrow and the League of Shadows have cast upon it."
116,Certains l'aiment chaud,1959,8.219,"When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
117,Impitoyable,1992,8.215,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man."
118,Le trésor de la Sierra Madre,1948,8.214,"Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains."
119,Mon père et mon fils,2005,8.213,The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.
120,La chute,2004,8.211,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
121,Piège de cristal,1988,8.207,"John McClane, officer of the NYPD, tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles."
122,Heat,1995,8.206,"A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist, while both sides attempt to find balance between their personal and professional lives."
123,Raging Bull,1980,8.202,"Emotionally self-destructive boxer, Jake La Motta's journey through life, as the violence and temper that leads him to the top in the ring destroys his life outside it."
124,Vivre,1952,8.199,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.
125,La grande évasion,1963,8.196,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
126,Le troisième homme,1949,8.193,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
127,3 Billboards: Les panneaux de la vengeance,2017,8.193,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
128,Les enfants du ciel,1997,8.191,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
129,Chinatown,1974,8.188,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder."
130,Le labyrinthe de Pan,2006,8.188,"In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
131,Incendies,2010,8.187,"Twins journey to the Middle East to discover their family history, and fulfill their mother's last wishes."
132,Mon voisin Totoro,1988,8.179,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
133,Ran,1985,8.173,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
134,Jugement à Nuremberg,1961,8.173,"In 1948, an American court in occupied Germany tries four Nazi judges for war crimes."
135,Dans ses yeux,2009,8.171,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
136,La ruée vers l'or,1925,8.171,A prospector goes to the Klondike in search of gold and finds it and more.
137,Le château ambulant,2004,8.17,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
138,Le pont de la rivière Kwaï,1957,8.165,"After settling his differences with a Japanese PoW camp commander, a British colonel co-operates to oversee his men's construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it."
139,Sur les quais,1954,8.164,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
140,Vice-versa,2015,8.161,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
141,"Arnaques, crimes et botanique",1998,8.159,"A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns."
142,Le septième sceau,1957,8.159,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
143,Un homme d'exception,2001,8.158,
144,Casino,1995,8.156,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite."
145,Room,2015,8.156,A young boy is raised within the confines of a small shed.
146,Mr. Smith au sénat,1939,8.153,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down."
147,Elephant Man,1980,8.148,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous facade, there is revealed a person of intelligence and sensitivity."
148,Le loup de Wall Street,2013,8.143,Based on the t
149,V pour vendetta,2005,8.142,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman."
150,Blade Runner,1982,8.14,A blade runner must pursue and try to terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
151,Les fraises sauvages,1957,8.139,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
152,Sherlock Jr.,1924,8.138,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
153,Le mécano de la Générale,1926,8.137,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines."
154,Warrior,2011,8.137,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
155,Le crime était presque parfait,1954,8.132,"An ex-tennis pro carries out a plot to murder his wife. When things go wrong, he improvises a brilliant plan B."
156,Trainspotting,1996,8.131,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
157,Autant en emporte le vent,1939,8.126,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
158,Gran Torino,2008,8.124,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
159,"No Country for Old Men - Non, ce pays n'est pas pour le vieil homme",2007,8.124,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
160,Sixième sens,1999,8.123,A boy who communicates with spirits seeks the help of a disheartened child psychologist.
161,Fargo,1996,8.123,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
162,Voyage au bout de l'enfer,1978,8.122,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
163,There Will Be Blood,2007,8.121,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
164,The Thing,1982,8.12,"A crew in Antarctica finds a neighboring camp destroyed and its crew dead. Whatever killed them is nowhere to be found, unless it's hidden in plain sight."
165,Le monde de Nemo,2003,8.117,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
166,The Big Lebowski,1998,8.115,"""The Dude"" Lebowski, mistaken for a millionaire Lebowski, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
167,Requiem pour un massacre,1985,8.111,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
168,L'aurore,1927,8.108,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.
169,Luke la main froide,1967,8.107,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
170,Kill Bill: Volume I,2003,8.105,The Bride wakens from a four-year coma. The child she carried in her womb is gone. Now she must wreak vengeance on the team of assassins who betrayed her - a team she was once part of.
171,Voyage à Tokyo,1953,8.105,An old couple visit their children and grandchildren in the city; but the children have little time for them.
172,Rebecca,1940,8.104,A self-conscious bride is tormented by the memory of her husband's dead first wife.
173,Eskiya le bandit,1996,8.101,"The epic adventures of the legendary Baran the Bandit following his release from prison. After serving 35 years, it is no surprise that the world has changed dramatically. Still, Baran ...
       "
174,Shutter Island,2010,8.099,"In 1954, a U.S. Marshal investigates the disappearance of a murderer, who escaped from a hospital for the criminally insane."
175,Tu ne tueras point,2016,8.098,WWII America
176,Dragons,2010,8.096,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
177,Mary et Max.,2009,8.096,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
178,Andreï Roublev,1966,8.095,"The life, times and afflictions of the fifteenth-century Russian iconographer."
179,Gone Girl,2014,8.094,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
180,Into the Wild,2007,8.088,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
181,Blade Runner 2049,2017,8.088,"A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years."
182,La vie de Brian,1979,8.088,"Born on the original Christmas in the stable next door to Jesus, Brian of Nazareth spends his life being mistaken for a messiah."
183,Les nouveaux sauvages,2014,8.086,Six short stories that explore the extremities of human behavior involving people in distress.
184,Rang De Basanti,2006,8.085,"The story of six young Indians who assist an English Woman to film a documentary on the extremist freedom fighters from their past, and the events that lead them to relive the long forgotten saga of freedom."
185,New York - Miami,1934,8.084,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
186,La passion de Jeanne d'Arc,1928,8.081,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
187,Platoon,1986,8.078,A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.
188,Au nom du père,1993,8.077,A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
189,Network - Main basse sur la TV,1976,8.075,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
190,Stand by me - Compte sur moi,1986,8.075,"After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy."
191,Hôtel Rwanda,2004,8.075,Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.
192,The Grand Budapest hotel,2014,8.074,"The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend."
193,Stalker,1979,8.073,A guide leads two men through an area known as the Zone to find a room that grants wishes.
194,Le salaire de la peur,1953,8.073,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
195,Ben-Hur,1959,8.072,"When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge."
196,Jurassic Park,1993,8.072,"During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok."
197,Rush,2013,8.071,The merciless 1970s rivalry between Formul
198,Persona,1966,8.07,A nurse is put in charge of a mute actress and finds that their personas are melding together.
199,12 Years a Slave,2013,8.068,In the antebellum Un
200,Memories of Murder,2003,8.067,"In a small Korean province in 1986, three detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
201,The Truman Show,1998,8.067,An insurance salesman/adjuster discovers his entire life is actually a television show.
202,Million Dollar Baby,2004,8.067,A determined woman works with a hardened boxing trainer to become a professional.
203,Les quatre cents coups,1959,8.066,"A young boy, left without attention, delves into a life of petty crime."
204,Mad Max: Fury Road,2015,8.064,"A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max."
205,Spotlight,2015,8.062,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
